accepted_name,region_id,region_eco
Aphelandra cuscoensis,BHA,Bosques Húmedos Amazónicos
Aphelandra hapala,BMHM,Bosques Muy Húmedos Montanos
Aphelandra juninensis,MA,Mesoandina
Aphelandra latibracteata,BMHP,Bosques Muy Húmedos Premontanos
Aphelandra latibracteata,BHA,Bosques Húmedos Amazónicos
Aphelandra viscosa,MA,Mesoandina
Aphelandra weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Aphelandra weberbaueri,BMHP,Bosques Muy Húmedos Premontanos
Cephalacanthus maculatus,BMHP,Bosques Muy Húmedos Premontanos
Dicliptera porphyrea,MA,Mesoandina
Dicliptera rauhii,BMHM,Bosques Muy Húmedos Montanos
Justicia manserichensis,BHA,Bosques Húmedos Amazónicos
Justicia elegantissima,BMHM,Bosques Muy Húmedos Montanos
Justicia loretensis,BMHP,Bosques Muy Húmedos Premontanos
Justicia weberbaueri,MA,Mesoandina
Justicia weberbaueri,BS,Bosques Secos
Justicia alpina,MA,Mesoandina
Justicia alpina,BMHM,Bosques Muy Húmedos Montanos
Mendoncia peruviana,BHA,Bosques Húmedos Amazónicos
Mendoncia tarapotana,BMHP,Bosques Muy Húmedos Premontanos
Mendoncia tarapotana,BHA,Bosques Húmedos Amazónicos
Odontophyllum cuscoensis,BHA,Bosques Húmedos Amazónicos
Oplonia hutchisonii,BHA,Bosques Húmedos Amazónicos
Orophochilus stipulaceus,BMHP,Bosques Muy Húmedos Premontanos
Pachystachys killipii,BHA,Bosques Húmedos Amazónicos
Pachystachys incarnata,BHA,Bosques Húmedos Amazónicos
Pachystachys longibracteata,BHA,Bosques Húmedos Amazónicos
Pachystachys puberula,BHA,Bosques Húmedos Amazónicos
Pachystachys schunkei,BMHP,Bosques Muy Húmedos Premontanos
Pachystachys schunkei,BHA,Bosques Húmedos Amazónicos
Pachystachys fosteri,BHA,Bosques Húmedos Amazónicos
Ruellia rauhii,BMHP,Bosques Muy Húmedos Premontanos
Ruellia rauhii,BHA,Bosques Húmedos Amazónicos
Sanchezia tarapotensis,BHA,Bosques Húmedos Amazónicos
Sanchezia villosa,BMHP,Bosques Muy Húmedos Premontanos
Sanchezia wurdackii,BHA,Bosques Húmedos Amazónicos
Sanchezia sanmartinensis,BMHP,Bosques Muy Húmedos Premontanos
Sanchezia sanmartinensis,BHA,Bosques Húmedos Amazónicos
Sanchezia filamentosa,BHA,Bosques Húmedos Amazónicos
Sanchezia capitata,BMHP,Bosques Muy Húmedos Premontanos
Sanchezia capitata,BHA,Bosques Húmedos Amazónicos
Sanchezia bicolor,BHA,Bosques Húmedos Amazónicos
Sanchezia williamsii,BMHM,Bosques Muy Húmedos Montanos
Sanchezia williamsii,BMHP,Bosques Muy Húmedos Premontanos
Streblacanthus amoenus,BHA,Bosques Húmedos Amazónicos
Suessenguthia vargasii var. hirsuta,BHA,Bosques Húmedos Amazónicos
Tetramerium denudatum,BS,Bosques Secos
Tetramerium peruvianum,BS,Bosques Secos
Tetramerium sagasteguianum,MDE,Matorral Desértico
Tetramerium sagasteguianum,BS,Bosques Secos
Tetramerium surcubambense,BS,Bosques Secos
Tetramerium zeta,BS,Bosques Secos
Trichosanchezia chrysothrix,BHA,Bosques Húmedos Amazónicos
Saurauia briquetii,BMHM,Bosques Muy Húmedos Montanos
Saurauia loeseneriana,BMHM,Bosques Muy Húmedos Montanos
Saurauia solitaria,BMHM,Bosques Muy Húmedos Montanos
Bomarea albimontana,PSH,Puna Húmeda y Seca
Bomarea albimontana,PAR,PAR
Bomarea albimontana,AA,Altoandina
Bomarea alstroemeroides,BPM,Bosques Pluviales Montanos
Bomarea alstroemeroides,BMHM,Bosques Muy Húmedos Montanos
Bomarea ampayesana,PSH,Puna Húmeda y Seca
Bomarea ampayesana,BPM,Bosques Pluviales Montanos
Bomarea angustissima,MA,Mesoandina
Bomarea bracteata,MA,Mesoandina
Bomarea bracteata,PSH,Puna Húmeda y Seca
Bomarea campylophylla,BMHM,Bosques Muy Húmedos Montanos
Bomarea coccinea,PSH,Puna Húmeda y Seca
Bomarea coccinea,BPM,Bosques Pluviales Montanos
Bomarea cordifolia,BMHM,Bosques Muy Húmedos Montanos
Bomarea cornigera,BMHM,Bosques Muy Húmedos Montanos
Bomarea cornigera,BMHP,Bosques Muy Húmedos Premontanos
Bomarea crinita,PAR,PAR
Bomarea crinita,BMHM,Bosques Muy Húmedos Montanos
Bomarea denticulata,BPM,Bosques Pluviales Montanos
Bomarea denticulata,BMHM,Bosques Muy Húmedos Montanos
Bomarea dispar,BMHP,Bosques Muy Húmedos Premontanos
Bomarea engleriana,PSH,Puna Húmeda y Seca
Bomarea herrerae,BPM,Bosques Pluviales Montanos
Bomarea latifolia,DST,Desierto Semicálido Tropical
Bomarea longistyla,PSH,Puna Húmeda y Seca
Bomarea nematocaulon,BPM,Bosques Pluviales Montanos
Bomarea nematocaulon,BMHM,Bosques Muy Húmedos Montanos
Bomarea parvifolia,MA,Mesoandina
Bomarea parvifolia,PSH,Puna Húmeda y Seca
Bomarea parvifolia,AA,Altoandina
Bomarea peruviana,MA,Mesoandina
Bomarea porrecta,MA,Mesoandina
Bomarea porrecta,PSH,Puna Húmeda y Seca
Bomarea secundifolia,BMHM,Bosques Muy Húmedos Montanos
Bomarea vargasii,MA,Mesoandina
Bomarea vargasii,PSH,Puna Húmeda y Seca
Alternanthera albosquarrosa,MDE,Matorral Desértico
Alternanthera albotomentosa var. albotomentosa,DST,Desierto Semicálido Tropical
Alternanthera albotomentosa var. albotomentosa,MDE,Matorral Desértico
Alternanthera albotomentosa var. albotomentosa,MA,Mesoandina
Alternanthera arequipensis,MDE,Matorral Desértico
Alternanthera flavida,MDE,Matorral Desértico
Gomphrena elegans var. brunnea,MA,Mesoandina
Gomphrena oroyana,PSH,Puna Húmeda y Seca
Hebanthodes peruviana,BMHM,Bosques Muy Húmedos Montanos
Iresine diffusa,BMHM,Bosques Muy Húmedos Montanos
Iresine weberbaueri,BS,Bosques Secos
Pfaffia densipellita,Sin datos,Sin datos
Caliphruria korsakoffii,BMHM,Bosques Muy Húmedos Montanos
Clinanthus callacallensis,PAR,PAR
Clinanthus campodensis,BS,Bosques Secos
Clinanthus flammidus,MA,Mesoandina
Clinanthus glareosus,MA,Mesoandina
Clinanthus imasumacc,MA,Mesoandina
Clinanthus incarum,DST,Desierto Semicálido Tropical
Clinanthus macleanicus,MA,Mesoandina
Clinanthus macleanicus,PSH,Puna Húmeda y Seca
Clinanthus microstephium,MA,Mesoandina
Clinanthus mirabilis,MA,Mesoandina
Clinanthus sunchubambae,MA,Mesoandina
Clinanthus viridiflorus,MA,Mesoandina
Crinum forgetii,Sin datos,Sin datos
Eucharis corynandra,BS,Bosques Secos
Eucharis plicata,BMHP,Bosques Muy Húmedos Premontanos
Eucharis plicata,BHA,Bosques Húmedos Amazónicos
Eucrosia bicolor var. plowmanii,DCT,Desierto Cálido Tropical
Eucrosia calendulina,MA,Mesoandina
Eucrosia tubiflora,BS,Bosques Secos
Eustephia darwinii,MA,Mesoandina
Eustephia darwinii,BMHM,Bosques Muy Húmedos Montanos
Eustephia hugoei,MA,Mesoandina
Hippeastrum condemaita,Sin datos,Sin datos
Hippeastrum cuzcoense,MA,Mesoandina
Hippeastrum ferreyrae,BHA,Bosques Húmedos Amazónicos
Hippeastrum forgetii,MA,Mesoandina
Hippeastrum fuscum,BMHM,Bosques Muy Húmedos Montanos
Hippeastrum hugoi,MA,Mesoandina
Hippeastrum leonardii,BMHM,Bosques Muy Húmedos Montanos
Hippeastrum machupijchense,BMHM,Bosques Muy Húmedos Montanos
Hippeastrum traubii,BMHP,Bosques Muy Húmedos Premontanos
Hippeastrum variegatum,BMHM,Bosques Muy Húmedos Montanos
Hymenocallis incaica,MA,Mesoandina
Hymenocallis limaensis,MDE,Matorral Desértico
Ismene amancaes,DST,Desierto Semicálido Tropical
Ismene amancaes,MA,Mesoandina
Ismene hawkesii,MA,Mesoandina
Ismene morrisonii,MA,Mesoandina
Leptochiton helianthus,MDE,Matorral Desértico
Leptochiton helianthus,MA,Mesoandina
Mathieua galanthoides,DCT,Desierto Cálido Tropical
Rauhia decora,BS,Bosques Secos
Rauhia multiflora,BS,Bosques Secos
Rauhia occidentalis,MDE,Matorral Desértico
Rauhia staminosa,BS,Bosques Secos
Stenomesson campanulatum,MDE,Matorral Desértico
Stenomesson campanulatum,MA,Mesoandina
Stenomesson chloranthum,BS,Bosques Secos
Stenomesson cuzcoense,BMHM,Bosques Muy Húmedos Montanos
Stenomesson flavum,DST,Desierto Semicálido Tropical
Stenomesson gasteroides,MDE,Matorral Desértico
Stenomesson gasteroides,MA,Mesoandina
Stenomesson leucanthum,MDE,Matorral Desértico
Stenomesson luteum,PSH,Puna Húmeda y Seca
Stenomesson luteum,AA,Altoandina
Stenomesson parvulum,MA,Mesoandina
Stenomesson weberbaueri,MDE,Matorral Desértico
Stenomesson weberbaueri,MA,Mesoandina
Urceolina ayacucensis,BMHM,Bosques Muy Húmedos Montanos
Urceolina microcrater,BMHM,Bosques Muy Húmedos Montanos
Urceolina microcrater,BMHP,Bosques Muy Húmedos Premontanos
Urceolina microcrater,BHA,Bosques Húmedos Amazónicos
Urceolina robledoana,BMHP,Bosques Muy Húmedos Premontanos
Zephyranthes briquetii,PSH,Puna Húmeda y Seca
Mauria denticulata,MA,Mesoandina
Mauria killipii,BMHM,Bosques Muy Húmedos Montanos
Mauria peruviana,MA,Mesoandina
Mauria sericea,BMHM,Bosques Muy Húmedos Montanos
Mauria trichothyrsa,MA,Mesoandina
Orthopterygium huaucui,MDE,Matorral Desértico
Thyrsodium herrerense,BHA,Bosques Húmedos Amazónicos
Arracacia incisa,MA,Mesoandina
Arracacia peruviana,MA,Mesoandina
Arracacia peruviana,PAR,PAR
Bowlesia argenticaulis,PAR,PAR
Domeykoa amplexicaulis,DST,Desierto Semicálido Tropical
Domeykoa amplexicaulis,MDE,Matorral Desértico
Domeykoa amplexicaulis,MA,Mesoandina
Domeykoa saniculifolia,DST,Desierto Semicálido Tropical
Eremocharis confinis,MA,Mesoandina
Eremocharis ferreyrae,DST,Desierto Semicálido Tropical
Eremocharis hutchisonii,MA,Mesoandina
Eremocharis integrifolia,MA,Mesoandina
Eremocharis longiramea,MDE,Matorral Desértico
Eremocharis longiramea,MA,Mesoandina
Eremocharis piscoensis,DST,Desierto Semicálido Tropical
Eremocharis piscoensis,MDE,Matorral Desértico
Eremocharis tripartita,MDE,Matorral Desértico
Eremocharis tripartita,MA,Mesoandina
Eremocharis triradiata,MA,Mesoandina
Hydrocotyle bonplandii var. hirtipes,BMHP,Bosques Muy Húmedos Premontanos
Hydrocotyle dahlgrenii,BMHP,Bosques Muy Húmedos Premontanos
Hydrocotyle globiflora,BMHP,Bosques Muy Húmedos Premontanos
Hydrocotyle gracilis,Sin datos,Sin datos
Hydrocotyle longipes,BMHP,Bosques Muy Húmedos Premontanos
Hydrocotyle sagasteguii,MA,Mesoandina
Hydrocotyle vestita,BMHP,Bosques Muy Húmedos Premontanos
Niphogeton stricta,PSH,Puna Húmeda y Seca
Niphogeton stricta,PAR,PAR
Paraselinum weberbaueri,MA,Mesoandina
Allamanda weberbaueri,BS,Bosques Secos
Allomarkgrafia ovalis,BHA,Bosques Húmedos Amazónicos
Allomarkgrafia tubiflora,BMHP,Bosques Muy Húmedos Premontanos
Allomarkgrafia tubiflora,BHA,Bosques Húmedos Amazónicos
Malouetia gentryi,BHA,Bosques Húmedos Amazónicos
Mandevilla sandemanii,BMHM,Bosques Muy Húmedos Montanos
Mesechites acuminatus,MDE,Matorral Desértico
Mesechites acuminatus,BS,Bosques Secos
Mesechites acuminatus,BMHM,Bosques Muy Húmedos Montanos
Mesechites acuminatus,BMHP,Bosques Muy Húmedos Premontanos
Mesechites acuminatus,BHA,Bosques Húmedos Amazónicos
Odontadenia cordigera,BHA,Bosques Húmedos Amazónicos
Odontadenia macrostoma,BHA,Bosques Húmedos Amazónicos
Parahancornia peruviana,BHA,Bosques Húmedos Amazónicos
Peltastes ampliflorus,BMHM,Bosques Muy Húmedos Montanos
Peltastes ampliflorus,BMHP,Bosques Muy Húmedos Premontanos
Peltastes peruvianus,BMHM,Bosques Muy Húmedos Montanos
Peltastes peruvianus,BMHP,Bosques Muy Húmedos Premontanos
Prestonia cordifolia,MDE,Matorral Desértico
Prestonia cordifolia,MA,Mesoandina
Prestonia lacerata,BHA,Bosques Húmedos Amazónicos
Tabernaemontana hirtula var. maynensis,BHA,Bosques Húmedos Amazónicos
Ilex crassifolia,BMHM,Bosques Muy Húmedos Montanos
Ilex crassifolioides,BMHM,Bosques Muy Húmedos Montanos
Ilex gotardensis,BMHM,Bosques Muy Húmedos Montanos
Ilex jelskii,Sin datos,Sin datos
Ilex lilianeae,MA,Mesoandina
Ilex loretoica,BMHP,Bosques Muy Húmedos Premontanos
Ilex tarapotina,BMHP,Bosques Muy Húmedos Premontanos
Ilex trachyphylla,BMHM,Bosques Muy Húmedos Montanos
Ilex villosula,BMHM,Bosques Muy Húmedos Montanos
Anthurium cainarachense,BHA,Bosques Húmedos Amazónicos
Anthurium carneospadix,BMHM,Bosques Muy Húmedos Montanos
Anthurium chinchipense,BMHP,Bosques Muy Húmedos Premontanos
Anthurium consimile,BMHP,Bosques Muy Húmedos Premontanos
Anthurium gracilipedunculatum,BMHM,Bosques Muy Húmedos Montanos
Anthurium hamiltonii,BMHM,Bosques Muy Húmedos Montanos
Anthurium huallagense,BMHM,Bosques Muy Húmedos Montanos
Anthurium huallagense,BMHP,Bosques Muy Húmedos Premontanos
Anthurium huanucense,BMHP,Bosques Muy Húmedos Premontanos
Anthurium idmense,BMHM,Bosques Muy Húmedos Montanos
Anthurium knappiae,BHA,Bosques Húmedos Amazónicos
Anthurium latissimum,BMHP,Bosques Muy Húmedos Premontanos
Anthurium llewelynii,BMHP,Bosques Muy Húmedos Premontanos
Anthurium llewelynii,BHA,Bosques Húmedos Amazónicos
Anthurium macbridei,BMHM,Bosques Muy Húmedos Montanos
Anthurium magdae,BMHM,Bosques Muy Húmedos Montanos
Anthurium magdae,BMHP,Bosques Muy Húmedos Premontanos
Anthurium manuanum,BMHP,Bosques Muy Húmedos Premontanos
Anthurium manuanum,BHA,Bosques Húmedos Amazónicos
Anthurium mariae,BMHP,Bosques Muy Húmedos Premontanos
Anthurium monzonense,BMHM,Bosques Muy Húmedos Montanos
Anthurium peltatum,BMHM,Bosques Muy Húmedos Montanos
Anthurium peltatum,BMHP,Bosques Muy Húmedos Premontanos
Anthurium reflexinervium,BMHP,Bosques Muy Húmedos Premontanos
Anthurium remotigeniculatum,BMHP,Bosques Muy Húmedos Premontanos
Anthurium schunkei,BMHP,Bosques Muy Húmedos Premontanos
Anthurium simpsonii,BS,Bosques Secos
Anthurium superbum,BHA,Bosques Húmedos Amazónicos
Anthurium tarapotense,BMHP,Bosques Muy Húmedos Premontanos
Anthurium tarapotense,BHA,Bosques Húmedos Amazónicos
Anthurium uleanum var. nanayense,BHA,Bosques Húmedos Amazónicos
Anthurium yurimaguense,BHA,Bosques Húmedos Amazónicos
Dieffenbachia cordata,BMHP,Bosques Muy Húmedos Premontanos
Dieffenbachia imperialis,Sin datos,Sin datos
Dieffenbachia macrophylla,BMHP,Bosques Muy Húmedos Premontanos
Dieffenbachia macrophylla,BHA,Bosques Húmedos Amazónicos
Dieffenbachia obliqua,BHA,Bosques Húmedos Amazónicos
Filarum manserichense,BMHP,Bosques Muy Húmedos Premontanos
Filarum manserichense,BHA,Bosques Húmedos Amazónicos
Gorgonidium intermedium,MA,Mesoandina
Gorgonidium intermedium,BPM,Bosques Pluviales Montanos
Gorgonidium vargasii,DST,Desierto Semicálido Tropical
Gorgonidium vargasii,MA,Mesoandina
Gorgonidium vargasii,BMHM,Bosques Muy Húmedos Montanos
Philodendron alatum,BMHP,Bosques Muy Húmedos Premontanos
Philodendron alatum,BHA,Bosques Húmedos Amazónicos
Philodendron basivaginatum,BHA,Bosques Húmedos Amazónicos
Philodendron densivenium,BMHM,Bosques Muy Húmedos Montanos
Philodendron devansayeanum,BMHM,Bosques Muy Húmedos Montanos
Philodendron huanucense,BMHP,Bosques Muy Húmedos Premontanos
Philodendron juninense,BMHP,Bosques Muy Húmedos Premontanos
Philodendron killipii,BMHM,Bosques Muy Húmedos Montanos
Philodendron mathewsii,BMHP,Bosques Muy Húmedos Premontanos
Philodendron membranaceum,BMHP,Bosques Muy Húmedos Premontanos
Philodendron stenophyllum,BMHP,Bosques Muy Húmedos Premontanos
Philodendron tarmense,BMHP,Bosques Muy Húmedos Premontanos
Philodendron weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Spathiphyllum gracile,BHA,Bosques Húmedos Amazónicos
Spathiphyllum tenerum,BMHP,Bosques Muy Húmedos Premontanos
Stenospermation crassifolium,BMHM,Bosques Muy Húmedos Montanos
Syngonium gentryanum,BMHP,Bosques Muy Húmedos Premontanos
Xanthosoma brevispathaceum,BMHP,Bosques Muy Húmedos Premontanos
Xanthosoma fractum,BMHP,Bosques Muy Húmedos Premontanos
Xanthosoma stenospathum,BMHP,Bosques Muy Húmedos Premontanos
Dendropanax marginiferus,BMHP,Bosques Muy Húmedos Premontanos
Dendropanax weberbaueri,BMHP,Bosques Muy Húmedos Premontanos
Dendropanax williamsii,BMHP,Bosques Muy Húmedos Premontanos
Dendropanax williamsii,BHA,Bosques Húmedos Amazónicos
Oreopanax apurimacensis,BMHM,Bosques Muy Húmedos Montanos
Oreopanax aquifolius,BPM,Bosques Pluviales Montanos
Oreopanax candamoanus,MA,Mesoandina
Oreopanax cissoides,MA,Mesoandina
Oreopanax deinocephalus,MA,Mesoandina
Oreopanax divulsus,BMHM,Bosques Muy Húmedos Montanos
Oreopanax gnaphalocephalus,BPM,Bosques Pluviales Montanos
Oreopanax iodophyllus,BMHM,Bosques Muy Húmedos Montanos
Oreopanax ischnolobus,BMHM,Bosques Muy Húmedos Montanos
Oreopanax klugii,BMHP,Bosques Muy Húmedos Premontanos
Oreopanax lechleri,BMHM,Bosques Muy Húmedos Montanos
Oreopanax mathewsii,Sin datos,Sin datos
Oreopanax pariahuancae,MA,Mesoandina
Oreopanax raimondii,MA,Mesoandina
Oreopanax sandianus,BMHM,Bosques Muy Húmedos Montanos
Oreopanax stenodactylus,BPM,Bosques Pluviales Montanos
Oreopanax urubambanus,BMHM,Bosques Muy Húmedos Montanos
Oreopanax weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Oreopanax williamsii,BMHM,Bosques Muy Húmedos Montanos
Oreopanax williamsii,BMHP,Bosques Muy Húmedos Premontanos
Schefflera cainarachiensis,BHA,Bosques Húmedos Amazónicos
Schefflera euryphylla,BMHM,Bosques Muy Húmedos Montanos
Schefflera mathewsii,BMHM,Bosques Muy Húmedos Montanos
Schefflera monzonensis,BMHM,Bosques Muy Húmedos Montanos
Schefflera pardoana,BMHM,Bosques Muy Húmedos Montanos
Schefflera pardoana,BMHP,Bosques Muy Húmedos Premontanos
Schefflera peruviana,Sin datos,Sin datos
Astrocaryum carnosum,BMHP,Bosques Muy Húmedos Premontanos
Astrocaryum carnosum,BHA,Bosques Húmedos Amazónicos
Astrocaryum huicungo,BMHP,Bosques Muy Húmedos Premontanos
Astrocaryum perangustatum,BHA,Bosques Húmedos Amazónicos
Astrocaryum scopatum,BHA,Bosques Húmedos Amazónicos
Ceroxylon pityrophyllum,BMHM,Bosques Muy Húmedos Montanos
Chelyocarpus repens,BHA,Bosques Húmedos Amazónicos
Euterpe luminosa,BMHM,Bosques Muy Húmedos Montanos
Geonoma trigona,BMHM,Bosques Muy Húmedos Montanos
Hyospathe peruviana,BMHM,Bosques Muy Húmedos Montanos
Aristolochia barbourii,BHA,Bosques Húmedos Amazónicos
Aristolochia bicolor,BHA,Bosques Húmedos Amazónicos
Aristolochia chachapoyensis,BS,Bosques Secos
Aristolochia killipiana,BMHM,Bosques Muy Húmedos Montanos
Aristolochia physodes,BMHP,Bosques Muy Húmedos Premontanos
Aristolochia physodes,BHA,Bosques Húmedos Amazónicos
Aristolochia putumayensis,BHA,Bosques Húmedos Amazónicos
Aristolochia xerophytica,MDE,Matorral Desértico
Aristolochia xerophytica,BS,Bosques Secos
Astephanus peruvianus,Sin datos,Sin datos
Cynanchum calycinum,BS,Bosques Secos
Cynanchum canoi,BMHM,Bosques Muy Húmedos Montanos
Cynanchum hickenii,PSH,Puna Húmeda y Seca
Cynanchum luteynii,BMHM,Bosques Muy Húmedos Montanos
Cynanchum peruvianum,BMHM,Bosques Muy Húmedos Montanos
Cynanchum thymifolium,MDE,Matorral Desértico
Cynanchum tiaratum,MA,Mesoandina
Cynanchum unguiculatum,Sin datos,Sin datos
Ditassa crassa,BMHM,Bosques Muy Húmedos Montanos
Ditassa gracilipes,BMHP,Bosques Muy Húmedos Premontanos
Ditassa peruviana,BMHP,Bosques Muy Húmedos Premontanos
Ditassa violascens,BMHM,Bosques Muy Húmedos Montanos
Ditassa weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Gonolobus marginatus,BMHP,Bosques Muy Húmedos Premontanos
Gonolobus peruanus,MA,Mesoandina
Gonolobus purpureus,BMHP,Bosques Muy Húmedos Premontanos
Gonolobus sagasteguii,MA,Mesoandina
Marsdenia oligantha,BMHP,Bosques Muy Húmedos Premontanos
Marsdenia oligantha,BHA,Bosques Húmedos Amazónicos
Marsdenia weberbaueri,BMHP,Bosques Muy Húmedos Premontanos
Matelea aliciae,DST,Desierto Semicálido Tropical
Matelea aliciae,MDE,Matorral Desértico
Matelea camiloana,BHA,Bosques Húmedos Amazónicos
Matelea glandulosa,BHA,Bosques Húmedos Amazónicos
Matelea klugii,BHA,Bosques Húmedos Amazónicos
Matelea longifolia,BHA,Bosques Húmedos Amazónicos
Matelea marginata,MA,Mesoandina
Matelea melinii,BHA,Bosques Húmedos Amazónicos
Matelea pedicellata,BMHP,Bosques Muy Húmedos Premontanos
Matelea peruviana,BHA,Bosques Húmedos Amazónicos
Matelea ruiz-pavonii,BMHP,Bosques Muy Húmedos Premontanos
Matelea schunkei,BHA,Bosques Húmedos Amazónicos
Matelea subsessilifolia,BHA,Bosques Húmedos Amazónicos
Matelea vargasii,BMHM,Bosques Muy Húmedos Montanos
Matelea weberbaueri,MDE,Matorral Desértico
Matelea woytkowskii,MA,Mesoandina
Metastelma rariflorum,BMHM,Bosques Muy Húmedos Montanos
Orthosia tarmensis,MA,Mesoandina
Oxypetalum albiflorum,PSH,Puna Húmeda y Seca
Oxypetalum weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Philibertia peruviana,MA,Mesoandina
Schistonema weberbaueri,MDE,Matorral Desértico
Stenomeria fosteri,BHA,Bosques Húmedos Amazónicos
Tassadia cordata,BHA,Bosques Húmedos Amazónicos
Asplenium divaricatum,BMHM,Bosques Muy Húmedos Montanos
Asplenium divaricatum,BMHP,Bosques Muy Húmedos Premontanos
Asplenium divaricatum,BHA,Bosques Húmedos Amazónicos
Asplenium projectum,BMHM,Bosques Muy Húmedos Montanos
Achyrocline peruviana,MDE,Matorral Desértico
Achyrocline peruviana,MA,Mesoandina
Aequatorium cajamarcense,BMHM,Bosques Muy Húmedos Montanos
Aequatorium carpishense,BMHM,Bosques Muy Húmedos Montanos
Aequatorium juninense,BPM,Bosques Pluviales Montanos
Aequatorium rimachianum,BPM,Bosques Pluviales Montanos
Aequatorium rimachianum,BMHM,Bosques Muy Húmedos Montanos
Aequatorium stellatopilosum,BMHM,Bosques Muy Húmedos Montanos
Aequatorium tovarii,BPM,Bosques Pluviales Montanos
Aequatorium tuestae,BPM,Bosques Pluviales Montanos
Ageratina bishopii,BMHM,Bosques Muy Húmedos Montanos
Ageratina boekei,PAR,PAR
Ageratina boekei,BMHM,Bosques Muy Húmedos Montanos
Ageratina chachapoyasensis,PAR,PAR
Ageratina chachapoyasensis,BPM,Bosques Pluviales Montanos
Ageratina gracilenta,BMHM,Bosques Muy Húmedos Montanos
Ageratina infiernillensis,MA,Mesoandina
Ageratina lobulifera,MA,Mesoandina
Ageratina lopez-mirandae,MA,Mesoandina
Ageratina pampalcensis,BMHM,Bosques Muy Húmedos Montanos
Ageratina piurae,PAR,PAR
Ageratina proba,MA,Mesoandina
Ageratina rhytidodes,MA,Mesoandina
Ageratina simulans,MA,Mesoandina
Ageratina subferruginea,Sin datos,Sin datos
Ageratina tarmensis,MA,Mesoandina
Ageratina vallincola,DST,Desierto Semicálido Tropical
Ageratina vallincola,MA,Mesoandina
Ageratina vallincola,PSH,Puna Húmeda y Seca
Ageratina vallincola,PAR,PAR
Ageratina wurdackii,PAR,PAR
Ageratina wurdackii,BMHM,Bosques Muy Húmedos Montanos
Alloispermum weberbaueri,MA,Mesoandina
Amboroa wurdackii,BMHP,Bosques Muy Húmedos Premontanos
Amboroa wurdackii,BHA,Bosques Húmedos Amazónicos
Ambrosia dentata,DST,Desierto Semicálido Tropical
Ambrosia pannosa,MA,Mesoandina
Aphanactis hutchisonii,PAR,PAR
Aphanactis hutchisonii,BMHM,Bosques Muy Húmedos Montanos
Aristeguietia anisodonta,MA,Mesoandina
Aristeguietia ballii,MA,Mesoandina
Aristeguietia cursonii,Sin datos,Sin datos
Aristeguietia diplodictyon,BMHM,Bosques Muy Húmedos Montanos
Aristeguietia gascae,Sin datos,Sin datos
Aristeguietia tahonensis,MA,Mesoandina
Arnaldoa macbrideana,MDE,Matorral Desértico
Arnaldoa weberbaueri,MDE,Matorral Desértico
Arnaldoa weberbaueri,BS,Bosques Secos
Ascidiogyne sanchezvegae,PAR,PAR
Ascidiogyne wurdackii,PAR,PAR
Asplundianthus sagasteguii,MDE,Matorral Desértico
Asplundianthus sagasteguii,MA,Mesoandina
Asplundianthus scabrifolius,BPM,Bosques Pluviales Montanos
Asplundianthus scabrifolius,BMHM,Bosques Muy Húmedos Montanos
Asplundianthus trachyphyllus,BMHM,Bosques Muy Húmedos Montanos
Ayapanopsis andina,Sin datos,Sin datos
Ayapanopsis ferreyrii,BMHM,Bosques Muy Húmedos Montanos
Ayapanopsis mathewsii,BMHM,Bosques Muy Húmedos Montanos
Ayapanopsis tarapotensis,BMHP,Bosques Muy Húmedos Premontanos
Ayapanopsis vargasii,BMHM,Bosques Muy Húmedos Montanos
Ayapanopsis wurdackiana,BMHM,Bosques Muy Húmedos Montanos
Aynia pseudascaricida,BMHP,Bosques Muy Húmedos Premontanos
Baccharis alnifolia,MA,Mesoandina
Baccharis alnifolia,PSH,Puna Húmeda y Seca
Baccharis ayacuchensis,MA,Mesoandina
Baccharis ayacuchensis,PSH,Puna Húmeda y Seca
Baccharis brachylaenoides var. mathewsii,Sin datos,Sin datos
Baccharis chachapoyasensis,BMHM,Bosques Muy Húmedos Montanos
Baccharis chilcaura,Sin datos,Sin datos
Baccharis corymbosa,MA,Mesoandina
Baccharis davidsonii,AA,Altoandina
Baccharis grandicapitulata var. subdentata,MA,Mesoandina
Baccharis hutchisonii,MDE,Matorral Desértico
Baccharis hutchisonii,MA,Mesoandina
Baccharis johnwurdackiana,PSH,Puna Húmeda y Seca
Baccharis kingii,DST,Desierto Semicálido Tropical
Baccharis kingii,MDE,Matorral Desértico
Baccharis kingii,MA,Mesoandina
Baccharis ledifolia,PAR,PAR
Baccharis libertadensis,PAR,PAR
Baccharis oxyphylla,BS,Bosques Secos
Baccharis scabra,MA,Mesoandina
Baccharis tarmensis,MA,Mesoandina
Baccharis tarmensis,PSH,Puna Húmeda y Seca
Baccharis venulosoides,BMHM,Bosques Muy Húmedos Montanos
Badilloa drepanoides,PSH,Puna Húmeda y Seca
Badilloa helianthifolia,Sin datos,Sin datos
Badilloa herrerae,MA,Mesoandina
Badilloa procera,MA,Mesoandina
