accepted_name,region_id,region_eco
Thibaudia angustifolia,Sin datos,Sin datos
Thibaudia apophysata,MA,Mesoandina
Thibaudia biflora,BMHM,Bosques Muy Húmedos Montanos
Thibaudia biflora,BMHP,Bosques Muy Húmedos Premontanos
Thibaudia cardiophylla,BPM,Bosques Pluviales Montanos
Thibaudia croatii,BMHM,Bosques Muy Húmedos Montanos
Thibaudia croatii,BMHP,Bosques Muy Húmedos Premontanos
Thibaudia diphylla,MA,Mesoandina
Thibaudia dudleyi var. dudleyi,BMHM,Bosques Muy Húmedos Montanos
Thibaudia dudleyi var. pseudostellata,PSH,Puna Húmeda y Seca
Thibaudia dudleyi var. pseudostellata,BPM,Bosques Pluviales Montanos
Thibaudia engleriana,BMHM,Bosques Muy Húmedos Montanos
Thibaudia diphylla,BMHM,Bosques Muy Húmedos Montanos
Thibaudia diphylla,BMHM,Bosques Muy Húmedos Montanos
Thibaudia mellifera,BMHM,Bosques Muy Húmedos Montanos
Thibaudia moricandii var. phyllireaefolia,Sin datos,Sin datos
Thibaudia obovata,BMHM,Bosques Muy Húmedos Montanos
Thibaudia ovalifolia,Sin datos,Sin datos
Thibaudia rauhii,BMHM,Bosques Muy Húmedos Montanos
Thibaudia spathulata,BPM,Bosques Pluviales Montanos
Thibaudia spathulata,BMHM,Bosques Muy Húmedos Montanos
Thibaudia tomentosa,MA,Mesoandina
Thibaudia uniflora,BMHP,Bosques Muy Húmedos Premontanos
Thibaudia urbaniana,MA,Mesoandina
Vaccinium didymanthum,MA,Mesoandina
Vaccinium didymanthum,BMHM,Bosques Muy Húmedos Montanos
Vaccinium elvirae,BMHM,Bosques Muy Húmedos Montanos
Vaccinium mathewsii,BMHM,Bosques Muy Húmedos Montanos
Vaccinium pseudocaracasanum,MA,Mesoandina
Vaccinium pseudocaracasanum,BMHM,Bosques Muy Húmedos Montanos
Vaccinium sphyrospermoides,BMHM,Bosques Muy Húmedos Montanos
Eriocaulon peruvianum,PAR,PAR
Paepalanthus dichotomus var. glabrescens,BMHM,Bosques Muy Húmedos Montanos
Paepalanthus ferreyrae,PAR,PAR
Paepalanthus ferreyrae,BMHP,Bosques Muy Húmedos Premontanos
Paepalanthus longivaginatus,BMHM,Bosques Muy Húmedos Montanos
Paepalanthus weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Erythroxylum pacificum,DCT,Desierto Cálido Tropical
Erythroxylum schunkei,BHA,Bosques Húmedos Amazónicos
Erythroxylum shatona,BHA,Bosques Húmedos Amazónicos
Erythroxylum vasquezii,BHA,Bosques Húmedos Amazónicos
Acalypha bullata,BMHM,Bosques Muy Húmedos Montanos
Acalypha contermina,Sin datos,Sin datos
Acalypha forbesii,Sin datos,Sin datos
Acalypha infesta,Sin datos,Sin datos
Acalypha simplicistyla,BMHP,Bosques Muy Húmedos Premontanos
Acalypha simplicistyla,BHA,Bosques Húmedos Amazónicos
Acalypha subbullata,BMHM,Bosques Muy Húmedos Montanos
Acalypha subbullata,BMHP,Bosques Muy Húmedos Premontanos
Actinostemon imbricatus,BHA,Bosques Húmedos Amazónicos
Andrachne microphylla,DST,Desierto Semicálido Tropical
Caperonia zaponzeta,BHA,Bosques Húmedos Amazónicos
Chamaesyce trancapatae,MA,Mesoandina
Chiropetalum quinquecuspidatum,MA,Mesoandina
Cnidoscolus cajamarcensis var. cajamarcensis,BS,Bosques Secos
Cnidoscolus hypoleucus,BS,Bosques Secos
Cnidoscolus liesneri,BS,Bosques Secos
Cnidoscolus peruvianus,MDE,Matorral Desértico
Cnidoscolus peruvianus,MA,Mesoandina
Conceveiba maynasensis,BHA,Bosques Húmedos Amazónicos
Croton adipatus,BS,Bosques Secos
Croton astianus,BMHM,Bosques Muy Húmedos Montanos
Croton balsameus,Sin datos,Sin datos
Croton boissieri,Sin datos,Sin datos
Croton churumayensis,MA,Mesoandina
Croton nitidulifolius,MA,Mesoandina
Croton perlongiflorus,MDE,Matorral Desértico
Croton perlongiflorus,BS,Bosques Secos
Croton perspeciosus,BMHM,Bosques Muy Húmedos Montanos
Croton rubiginosus,BS,Bosques Secos
Croton sapiiflorus,BMHP,Bosques Muy Húmedos Premontanos
Croton spurcus,DST,Desierto Semicálido Tropical
Croton stenosepalus,BHA,Bosques Húmedos Amazónicos
Croton tarapotensis,BMHP,Bosques Muy Húmedos Premontanos
Croton tarapotensis,BHA,Bosques Húmedos Amazónicos
Croton tyndaridum,BMHP,Bosques Muy Húmedos Premontanos
Dalechampia hutchinsoniana,BS,Bosques Secos
Dalechampia weberbaueri,Sin datos,Sin datos
Ditaxis dioica,BHA,Bosques Húmedos Amazónicos
Euphorbia apurimacensis,MA,Mesoandina
Euphorbia tacnensis,Sin datos,Sin datos
Euphorbia sinclairiana,BHA,Bosques Húmedos Amazónicos
Euphorbia viatilis,BMHP,Bosques Muy Húmedos Premontanos
